52,Chick Peas - Canned,2.29
53,Table Cloth - 53x69 Colour,9.78
54,Cookie Dough - Chunky,4.98
55,Butter - Pod,9.9
56,Cinnamon - Stick,9.54
57,"Lamb - Whole, Frozen",0.1
58,Wine - Chardonnay Mondavi,4.91
59,"Cheese - Havarti, Salsa",5.06
60,Snapple Lemon Tea,6.09
61,Anchovy In Oil,2.3
62,Bread - Raisin Walnut Oval,7.7
63,Oil - Olive,1.35
64,"Juice - Orange, 341 Ml",0.1
65,Soup - Campbells Chili Veg,4.03
66,Pate - Cognac,6.75
67,Dragon Fruit,6.64
68,Cheese - Swiss Sliced,5.43
69,Rice - Long Grain,1.54
70,Jack Daniels,8.44
71,Wine - Zinfandel California 2002,7.94
72,Horseradish - Prepared,5.35
73,Flour - So Mix Cake White,5.98
74,Eggwhite Frozen,7.93
75,Wine - Vovray Sec Domaine Huet,0.49
76,Drambuie,3.11
77,Containter - 3oz Microwave Rect.,1.56
78,Juice Peach Nectar,0.35
79,Alize Red Passion,9.28
80,Sauce - Rosee,9.21
81,Tart - Raisin And Pecan,6.43
82,Tamarind Paste,0.24
83,Gatorade - Fruit Punch,0.31
84,"Olives - Black, Pitted",2.55
85,"Cake Circle, Foil, Scallop",9.87
86,Amarula Cream,7.58
87,"Pasta - Fettuccine, Egg, Fresh",5.67
88,"Pork - Loin, Center Cut",8.03
89,Kellogs All Bran Bars,5.95
90,Flour - Semolina,2.74
91,Vinegar - Sherry,8.24
92,Sherry - Dry,1.38
93,"Peas - Pigeon, Dry",2.01
94,Pears - Bartlett,0.88
95,Wine - Gewurztraminer Pierre,3.69
96,Pineapple - Regular,8.57
97,Chicken - White Meat With Tender,8.88
98,Coffee - Flavoured,4.53
99,Compound - Pear,5.62
100,Flour - Teff,0.76
101,Dc - Frozen Momji,3.78
102,"Veal - Brisket, Provimi,bnls",1.64
103,"Hickory Smoke, Liquid",7.26
104,Pasta - Agnolotti - Butternut,5.42
105,Oil - Pumpkinseed,7.32
106,Oil - Sunflower,9.64
107,Bread - Rosemary Focaccia,6.8
108,Sauce Tomato Pouch,0.93
109,Soup Campbells Split Pea And Ham,3.17
110,Cherries - Fresh,3.26
111,Mushrooms - Honey,5
112,Wine - Jaboulet Cotes Du Rhone,1.13
113,Beef - Bresaola,4.17
114,Rice Paper,6.09
115,Raspberries - Fresh,4.54
116,Bar Bran Honey Nut,3.47
117,Emulsifier,0.82
118,Bread - Raisin Walnut Oval,4.33
119,Bar Special K,0.24
120,Spring Roll Wrappers,7.86
121,Pur Value,9.86
122,Muffin Mix - Lemon Cranberry,3.46
123,Gatorade - Lemon Lime,6.91
124,"Spoon - Soup, Plastic",6.96
125,Spice - Chili Powder Mexican,9.07
126,Miso - Soy Bean Paste,7.22
127,Snapple - Mango Maddness,8
128,Sole - Iqf,5.57
129,Silicone Paper 16.5x24,8.59
130,Carbonated Water - Blackcherry,8.43
131,Sprouts - Peppercress,3.1
132,Chips Potato Swt Chilli Sour,2.05
133,"Tart Shells - Sweet, 4",3.52
134,Bar Bran Honey Nut,9.61
135,Rice - Aborio,9.24
136,Worcestershire Sauce,2.08
137,"Potatoes - Yukon Gold, 80 Ct",8.77
138,Wine - Kwv Chenin Blanc South,7.2
139,Kellogs All Bran Bars,8.06
140,Cilantro / Coriander - Fresh,2.03
141,Snapple Lemon Tea,5.13
142,"Carrots - Purple, Organic",4.17
143,Tomatoes - Hot House,2.4
144,"Yeast - Fresh, Fleischman",7.21
145,"Gingerale - Schweppes, 355 Ml",2.09
146,Mace,7.09
147,"Trout - Rainbow, Fresh",9.01
148,"Beets - Candy Cane, Organic",5.33
149,Wine - Vovray Sec Domaine Huet,1.77
150,Onions - Vidalia,7.14
151,Dasheen,7.03
152,Cumin - Ground,1.28
153,Mousse - Mango,4.33
154,Beer - True North Lager,4
155,Potatoes - Parissienne,7.71
156,Dish Towel,7.9
157,Cake - Night And Day Choclate,1.66
158,Flavouring - Orange,8.92
159,Yokaline,0.77
160,Goulash Seasoning,0.6
161,Extract - Almond,3.18
162,Cream - 35%,3.69
163,Wine - Pinot Grigio Collavini,0.85
164,"Beef - Rib Roast, Capless",5.07
165,Crab - Meat Combo,3.92
166,Soup - Campbells Beef Noodle,4.75
167,Bread - Olive Dinner Roll,1.47
168,Truffle Cups - Brown,9.26
169,Cake - Pancake,9.47
170,Cookies - Englishbay Oatmeal,6.76
171,Oneshot Automatic Soap System,4.09
172,Cloves - Ground,4.63
173,"Pail - 15l White, With Handle",0.03
174,Lotus Leaves,3.74
175,Cookies - Englishbay Oatmeal,2.68
176,Lettuce - Romaine,5.58
177,Apricots Fresh,2.57
178,"Wine - Cahors Ac 2000, Clos",2.05
179,Parasol Pick Stir Stick,4.26
180,Dehydrated Kelp Kombo,2.12
181,"Lamb - Leg, Boneless",4.55
182,Tart - Butter Plain Squares,7.69
183,Lambcasing,0.37
184,Extract Vanilla Pure,1.28
185,Cake - Night And Day Choclate,0.36
186,Country Roll,2.85
187,Pepper - Yellow Bell,9
188,Wine - Magnotta - Cab Franc,2.93
189,Bagel - Plain,5.71
190,Cheese - Victor Et Berthold,2.76
191,Oven Mitts - 15 Inch,0.01
192,Country Roll,3.68
193,Cheese - Le Cru Du Clocher,5.77
194,Cheese - Wine,9.25
195,"Juice - Clam, 46 Oz",7.42
196,"Pail - 15l White, With Handle",4.53
197,Bread - Petit Baguette,7
198,Barley - Pearl,6.78
199,Sprite - 355 Ml,0.54
200,Maintenance Removal Charge,1.28
